hora;mês;dia
10;100;16
11;100;16
12;100;16
13;75;16
14;75;16
15;75;16
16;75;16
17;75;16
18;100;16
19;100;16
20;100;16
21;100;16
22;100;16
23;100;16
0;100;17
1;100;17
2;75;17
3;75;17
4;75;17
5;75;17
6;75;17
7;50;17
8;50;17
9;50;17
10;50;17
11;50;17
12;50;17
13;50;17
14;75;17
15;75;17
16;75;17
17;75;17
18;75;17
19;75;17
20;75;17
21;75;17
22;75;17
23;75;17
0;100;18
1;100;18
2;100;18
3;100;18
4;100;18
5;100;18
6;100;18
7;100;18
8;100;18
9;100;18
10;100;18
11;100;18
12;100;18
13;100;18
14;100;18
15;100;18
16;75;18
17;75;18
18;75;18
19;75;18
20;75;18
21;75;18
22;75;18
23;75;18
0;75;19
1;75;19
2;50;19
3;50;19
4;50;19
5;50;19
6;50;19
7;50;19
8;75;19
9;75;19
10;75;19
11;75;19
12;75;19
13;75;19
14;75;19
15;75;19
16;75;19
17;25;19
18;25;19
19;25;19
20;25;19
21;25;19
22;25;19
23;25;19
0;25;20
1;25;20
2;25;20
3;25;20
4;25;20
5;25;20
6;50;20
7;50;20
8;50;20
9;50;20
10;50;20
11;50;20
12;50;20
13;50;20
14;50;20
15;50;20
16;50;20
17;50;20
18;50;20
19;50;20
20;50;20
21;50;20
22;25;20
23;25;20
0;25;21
1;25;21
2;25;21
3;25;21
4;25;21
5;25;21
6;25;21
7;25;21
8;25;21
9;25;21
10;25;21
11;25;21
12;25;21
13;25;21
14;25;21
15;25;21
16;50;21
17;50;21
18;50;21
19;50;21
20;50;21
21;50;21
22;50;21
23;50;21
0;50;22
1;50;22
2;50;22
3;50;22
4;50;22
5;50;22
6;50;22
7;50;22
8;50;22
9;50;22
10;50;22
11;50;22
12;50;22
13;50;22
14;50;22
15;50;22
16;50;22
17;50;22
18;50;22
19;50;22
20;25;22
21;25;22
22;25;22
23;25;22
0;25;23
1;25;23
2;25;23
3;25;23
4;25;23
5;25;23
6;25;23
7;25;23
8;0;23
9;0;23
10;0;23
11;0;23
12;0;23
13;0;23
14;25;23
15;25;23
16;25;23
17;25;23
18;25;23
19;25;23
20;25;23
21;50;23
22;50;23
23;50;23
0;50;24
1;50;24
2;50;24
3;50;24
4;50;24
5;50;24
6;50;24
7;50;24
8;50;24
9;50;24
10;50;24
11;75;24
12;75;24
13;75;24
14;75;24
15;75;24
16;75;24
17;100;24
18;100;24
19;100;24
20;100;24
21;100;24
22;100;24
23;100;24
0;100;25
1;100;25
2;100;25
3;75;25
4;75;25
5;75;25
6;75;25
7;75;25
8;75;25
9;75;25
10;100;25
11;100;25
12;100;25
13;100;25
14;100;25
15;100;25
16;100;25
17;100;25
18;100;25
19;100;25
20;100;25
21;100;25
22;100;25
23;100;25
0;100;26
1;100;26
2;100;26
3;100;26
4;100;26
5;100;26
6;100;26
7;75;26
8;75;26
9;75;26
10;75;26
11;75;26
12;75;26
13;75;26
14;75;26
15;75;26
16;75;26
17;75;26
18;75;26
19;75;26
20;75;26
21;75;26
22;75;26
23;75;26
0;75;27
1;75;27
2;75;27
3;75;27
4;75;27
5;75;27
6;75;27
7;75;27
8;75;27
9;75;27
10;75;27
11;50;27
12;50;27
13;50;27
14;50;27
15;50;27
16;50;27
17;50;27
18;50;27
19;50;27
20;50;27
21;50;27
22;50;27
23;50;27
0;50;28
1;50;28
2;50;28
3;50;28
4;50;28
5;50;28
6;50;28
7;50;28
8;50;28
9;50;28
10;50;28
11;50;28
12;50;28
13;25;28
14;25;28
15;25;28
16;25;28
17;25;28
18;25;28
19;25;28
20;25;28
21;25;28
22;25;28
23;25;28
0;25;29
1;25;29
2;25;29
3;25;29
4;25;29
5;25;29
6;25;29
7;25;29
8;25;29
9;25;29
10;25;29
11;0;29
12;0;29
13;0;29
14;0;29
15;25;29
16;25;29
17;25;29
18;25;29
19;25;29
20;25;29
21;25;29
22;25;29
23;25;29
0;25;30
1;25;30
2;25;30
3;25;30
4;25;30
5;25;30
6;25;30
7;50;30
8;50;30
9;50;30
10;75;30
11;75;30
12;75;30
13;100;30
14;100;30
15;100;30
16;100;30
17;100;30
18;100;30
19;100;30
20;100;30
21;100;30
22;100;30
23;100;30
0;100;1
1;100;1
2;100;1
3;100;1
4;100;1
5;100;1
6;100;1
7;100;1
8;75;1
9;50;1
10;75;1
11;50;1
12;25;1
13;0;1
14;25;1
15;50;1
16;75;1
17;50;1
18;75;1
19;100;1
20;100;1
21;100;1
22;100;1
23;100;1
0;100;2
1;100;2
2;100;2
3;100;2
4;100;2
5;100;2
6;100;2
7;100;2
8;100;2
9;75;2
10;75;2
11;75;2
12;75;2
13;75;2
14;75;2
15;75;2
16;75;2
17;75;2
18;75;2
19;75;2
20;75;2
21;75;2
22;75;2
23;75;2
0;75;3
1;75;3
2;75;3
3;75;3
4;75;3
5;75;3
6;75;3
7;75;3
8;75;3
9;50;3
10;50;3
11;50;3
12;50;3
13;50;3
14;50;3
15;50;3
16;50;3
17;50;3
18;50;3
19;50;3
20;50;3
21;50;3
22;50;3
23;50;3
0;50;4
1;50;4
2;50;4
3;50;4
4;50;4
5;50;4
6;50;4
7;75;4
8;75;4
9;75;4
10;75;4
11;75;4
12;75;4
13;75;4
14;75;4
15;75;4
16;75;4
17;75;4
18;75;4
19;75;4
20;75;4
21;75;4
22;75;4
23;75;4
0;75;5
1;75;5
2;75;5
3;75;5
4;75;5
5;75;5
6;75;5
7;75;5
8;75;5
9;75;5
10;75;5
11;75;5
12;75;5
13;75;5
14;75;5
15;75;5
16;75;5
17;75;5
18;100;5
19;100;5
20;100;5
21;100;5
22;100;5
23;100;5
0;100;6
1;100;6
2;100;6
3;100;6
4;100;6
5;100;6
6;100;6
7;100;6
8;75;6
9;75;6
10;75;6
11;75;6
12;75;6
13;75;6
14;75;6
15;75;6
16;75;6
17;75;6
18;75;6
19;75;6
20;75;6
21;75;6
